Open,High,Low,Close,Adj Close,Volume
19.299999237060547,19.809999465942383,19.065000534057617,19.7450008392334,18.48295783996582,908514
19.764999389648438,19.924999237060547,19.5,19.80500030517578,18.539121627807617,998939
19.55500030517578,19.614999771118164,19.415000915527344,19.530000686645508,18.536937713623047,807003
19.524999618530273,19.584999084472656,19.43000030517578,19.479999542236328,18.489479064941406,1174022
19.364999771118164,19.575000762939453,19.334999084472656,19.479999542236328,18.489479064941406,1936653
19.53499984741211,19.575000762939453,19.21500015258789,19.489999771118164,18.498971939086914,2257516
19.450000762939453,19.829999923706055,19.450000762939453,19.825000762939453,18.816940307617188,1728466
19.78499984741211,20.010000228881836,19.610000610351562,19.68000030517578,18.679311752319336,891810
19.559999465942383,19.729999542236328,19.469999313354492,19.55500030517578,18.560667037963867,2043030
19.635000228881836,19.774999618530273,19.354999542236328,19.69499969482422,18.69354820251465,1606185
19.399999618530273,19.5,19.139999389648438,19.274999618530273,18.294904708862305,1817515
19.354999542236328,19.655000686645508,19.290000915527344,19.649999618530273,18.650835037231445,1210769
19.700000762939453,19.725000381469727,19.454999923706055,19.65999984741211,18.660327911376953,3032195
19.600000381469727,19.71500015258789,19.510000228881836,19.565000534057617,18.570158004760742,747122
19.424999237060547,19.7450008392334,19.399999618530273,19.584999084472656,18.589139938354492,3254511
19.545000076293945,19.850000381469727,19.520000457763672,19.850000381469727,18.840667724609375,1570800
19.80500030517578,19.954999923706055,19.68000030517578,19.915000915527344,18.902362823486328,1383750
19.924999237060547,19.979999542236328,19.594999313354492,19.75,18.745752334594727,1453720
19.600000381469727,19.84000015258789,19.600000381469727,19.729999542236328,18.726768493652344,1601237
19.68000030517578,20.149999618530273,19.649999618530273,20.09000015258789,19.068464279174805,1694313
20.030000686645508,20.100000381469727,19.959999084472656,20.030000686645508,19.01151466369629,1089890
20.049999237060547,20.15999984741211,19.9950008392334,20.100000381469727,19.07795524597168,1920609
20.15999984741211,20.229999542236328,19.764999389648438,19.844999313354492,18.835920333862305,1388468
19.8700008392334,20.239999771118164,19.854999542236328,20.239999771118164,19.210834503173828,1756159
20.25,20.31999969482422,20.059999465942383,20.239999771118164,19.210834503173828,1750634
20.190000534057617,20.3700008392334,20.1299991607666,20.239999771118164,19.210834503173828,1187462
20.239999771118164,20.299999237060547,20.079999923706055,20.200000762939453,19.172870635986328,1080353
20.100000381469727,20.25,20.079999923706055,20.079999923706055,19.058971405029297,801481
20.170000076293945,20.170000076293945,19.844999313354492,19.889999389648438,18.878633499145508,1060564
19.889999389648438,20.06999969482422,19.875,19.875,18.864397048950195,1127025
19.885000228881836,19.885000228881836,19.424999237060547,19.549999237060547,18.555919647216797,2225926
19.625,19.7450008392334,19.454999923706055,19.604999542236328,18.608123779296875,2622567
19.56999969482422,19.584999084472656,19.34000015258789,19.3700008392334,18.385074615478516,2333001
19.350000381469727,19.4950008392334,19.28499984741211,19.424999237060547,18.43727684020996,1261216
19.424999237060547,19.454999923706055,19.329999923706055,19.344999313354492,18.361345291137695,1324434
19.420000076293945,19.475000381469727,18.725000381469727,18.844999313354492,17.886768341064453,3612051
18.920000076293945,19.010000228881836,18.600000381469727,18.875,17.91524314880371,4318535
18.75,19.149999618530273,18.719999313354492,19.149999618530273,18.176259994506836,3586624
19.200000762939453,19.264999389648438,18.924999237060547,19.104999542236328,18.133548736572266,1442927
19.049999237060547,19.155000686645508,19.0,19.075000762939453,18.10507583618164,1233624
19.059999465942383,19.094999313354492,18.834999084472656,18.979999542236328,18.014904022216797,1682333
18.854999542236328,19.040000915527344,18.809999465942383,19.0,18.03388786315918,1617342
18.934999465942383,18.934999465942383,18.6200008392334,18.735000610351562,17.782363891601562,2002040
18.799999237060547,18.81999969482422,18.690000534057617,18.815000534057617,17.858295440673828,2340967
18.5,18.540000915527344,18.329999923706055,18.46500015258789,17.526092529296875,2711560
18.4950008392334,18.860000610351562,18.4950008392334,18.725000381469727,17.772871017456055,1661402
18.729999542236328,19.219999313354492,18.674999237060547,19.219999313354492,18.242700576782227,2186615
19.114999771118164,19.280000686645508,19.045000076293945,19.079999923706055,18.109821319580078,1248480
19.114999771118164,19.1299991607666,18.905000686645508,19.05500030517578,18.086091995239258,1007157
19.0049991607666,19.155000686645508,18.920000076293945,19.155000686645508,18.181007385253906,1481414
19.1299991607666,19.190000534057617,18.979999542236328,19.045000076293945,18.076601028442383,1512779
19.094999313354492,19.325000762939453,19.045000076293945,19.235000610351562,18.256938934326172,1836762
19.200000762939453,19.334999084472656,19.1200008392334,19.18000030517578,18.204736709594727,3622563
19.174999237060547,19.290000915527344,19.114999771118164,19.25,18.271175384521484,1180922
19.200000762939453,19.565000534057617,19.200000762939453,19.5,18.50846290588379,1743490
19.479999542236328,19.559999465942383,19.415000915527344,19.440000534057617,18.451515197753906,2548789
19.479999542236328,19.584999084472656,19.40999984741211,19.540000915527344,18.546430587768555,1275966
19.59000015258789,19.59000015258789,19.299999237060547,19.40999984741211,18.42304039001465,3513483
19.309999465942383,19.440000534057617,19.204999923706055,19.229999542236328,18.252193450927734,1859577
19.260000228881836,19.389999389648438,19.204999923706055,19.299999237060547,18.318632125854492,2116371
19.299999237060547,19.299999237060547,18.985000610351562,19.2450008392334,18.26643180847168,1426409
19.200000762939453,19.30500030517578,19.045000076293945,19.045000076293945,18.076601028442383,1061958
19.155000686645508,19.170000076293945,18.899999618530273,19.0,18.03388786315918,1507080
19.049999237060547,19.084999084472656,18.725000381469727,18.78499984741211,17.82982063293457,1666417
